City,Region,Pop,JanY1,FebY1,MarY1,AprY1,MayY1,JunY1,JulyY1,AugY1,SeptY1,OctY1,NovY1,DecY1,JanY2,FebY2,MarY2,AprY2,MayY2,JunY2,JulyY2,AugY2,SeptY2,OctY2,NovY2,DecY2
Atlanta,SE,4.7,11,14,18,23,27,30,32,31,28,23,18,12,1,3,7,11,16,20,22,22,18,12,7,3
Austin,MW,9.5,16,18,22,27,30,33,35,36,33,28,22,17,5,7,11,15,19,22,24,24,21,16,10,6
Baltimore,SE,6.1,5,7,12,18,23,28,31,30,26,19,14,7,-4,-3,1,6,11,17,19,18,14,7,3,-2
Birmingham,SE,2.1,12,15,19,24,28,31,33,33,30,24,19,13,1,3,7,10,15,20,22,22,18,12,6,2
Boston,NE,6.7,2,4,7,13,19,24,27,26,22,16,11,5,-5,-4,0,5,10,15,19,18,14,8,3,-2
Buffalo,NE,2.6,0,1,6,13,19,24,27,26,22,15,9,2,-8,-7,-3,3,9,14,17,16,12,6,1,-4
Charlotte,SE,8.4,10,13,17,22,26,30,32,31,27,22,17,12,-1,0,4,8,13,18,20,20,16,9,4,0
Chicago,MW,27,-1,2,8,15,21,27,29,28,24,17,9,2,-9,-7,-2,4,9,15,18,17,12,6,0,-6
Cincinnati,MW,3,5,7,13,19,24,28,30,30,26,20,13,6,-5,-4,0,6,11,16,18,17,13,6,1,-3
Cleveland,MW,3.9,1,3,8,15,21,26,28,27,23,17,10,4,-6,-5,-1,5,10,15,18,17,13,7,3,-3
Columbus,MW,2,3,5,11,18,23,28,29,29,25,18,11,5,-5,-4,0,6,11,16,19,18,14,7,2,-3
Dallas,W,13.2,14,16,20,25,29,33,36,36,32,26,20,14,3,5,9,13,19,23,25,25,21,15,9,4
Denver,MW,6.9,7,8,12,16,21,27,31,30,25,18,11,6,-8,-7,-3,1,7,12,15,14,9,2,-4,-9
Detroit,MW,6.7,0,2,8,15,21,26,29,27,23,16,9,2,-7,-6,-2,4,10,15,18,17,13,6,1,-4
Hartford,NE,1.2,1,4,9,16,22,26,29,28,24,17,11,4,-8,-6,-2,4,9,14,17,16,12,5,1,-5
Houston,MW,23,17,19,23,26,30,33,34,35,32,28,23,18,6,8,11,15,20,23,24,24,21,16,11,7
Indianapolis,MW,8.6,2,5,11,17,23,28,29,29,25,19,11,4,-6,-5,0,6,11,17,19,18,13,7,2,-4
Jacksonville,SE,8.8,18,20,23,26,30,32,33,33,31,27,23,19,5,7,10,13,17,21,23,23,21,16,11,7
Kansas_City,MW,4.8,4,7,13,19,24,29,32,31,27,20,12,5,-5,-3,2,8,14,19,22,21,16,9,3,-4
Las_Vegas,W,6.3,14,17,21,26,32,37,40,39,34,27,19,14,4,6,10,13,19,24,27,26,22,15,8,4
Los_Angeles,W,40,20,20,21,23,24,26,28,29,28,26,23,20,9,10,11,12,14,16,18,18,17,15,11,9
Louisville,MW,6.2,6,9,14,20,25,30,32,31,28,21,14,8,-3,-1,3,9,14,19,21,20,16,9,4,-1
Memphis,SE,6.5,10,13,18,23,27,32,33,33,30,24,17,11,0,2,7,12,17,21,23,23,18,12,7,2
Miami,SE,4.5,25,26,27,28,31,32,33,33,32,30,28,26,16,17,18,20,23,24,25,25,25,23,20,17
Milwaukee,MW,5.6,-2,0,6,12,18,24,27,26,22,15,8,0,-9,-7,-2,3,8,14,18,17,13,6,0,-7
Minneapolis,MW,4.1,-5,-2,5,14,21,26,29,27,22,14,5,-3,-14,-11,-4,3,9,15,18,17,11,4,-3,-11
Nashville,SE,6.6,8,11,16,21,26,30,32,32,28,22,16,10,-2,0,4,9,14,19,21,20,16,9,4,0
New_Orleans,SE,3.9,17,19,22,26,30,32,33,33,31,27,22,18,7,9,12,16,20,23,24,24,22,17,12,8
New_York,NE,85.4,4,5,10,16,22,26,29,28,24,18,12,6,-3,-2,2,7,12,18,20,20,16,10,5,0
Oklahoma_City,MW,6.4,10,13,17,22,27,31,34,34,29,23,16,10,-2,0,5,10,15,20,22,22,17,11,4,-1
Orlando,SE,2.8,22,23,26,28,31,33,33,33,32,29,26,23,10,11,13,16,19,22,23,23,23,19,15,11
Philadelphia,NE,15.8,5,7,12,18,23,28,31,30,26,19,13,7,-4,-2,1,7,12,18,21,20,16,9,4,-1
Phoenix,W,16.2,20,22,26,30,35,40,41,40,38,32,25,20,8,9,12,16,21,25,28,28,24,18,11,7
Pittsburgh,MW,3,2,4,10,17,22,26,28,27,24,17,11,4,-6,-5,-1,5,10,15,17,16,12,6,2,-4
Portland,W,6.4,8,11,14,16,20,23,27,27,24,18,11,7,2,3,4,6,9,11,13,14,11,8,5,2
Providence,NE,1.8,3,5,9,15,20,25,28,27,23,17,12,6,-6,-5,-1,4,9,15,18,17,13,7,2,-3
Raleigh,SE,4.6,11,13,17,22,27,31,32,31,28,23,17,12,-1,0,4,9,14,19,21,20,16,10,5,0
Richmond,SE,2.2,9,11,16,21,26,30,32,31,27,22,16,10,-2,-1,3,8,13,18,21,20,16,9,4,0
Riverside,W,3.2,21,21,23,25,28,31,35,36,34,29,24,20,6,7,8,10,13,15,18,18,16,13,8,5
Rochester,NE,2.1,0,1,6,13,20,25,27,26,22,15,9,3,-8,-7,-3,3,8,13,16,15,11,5,1,-5
Sacramento,W,5,12,16,18,22,27,31,33,33,31,25,18,12,4,5,7,8,11,13,15,14,13,10,6,4
Salt_Lake_City,W,1.9,3,6,12,16,22,28,34,33,26,18,10,3,-6,-4,1,4,9,14,18,17,12,5,-1,-5
San_Antonio,MW,15,17,19,23,27,31,34,35,36,32,28,22,18,5,7,10,15,19,23,24,24,21,16,10,5
San_Diego,W,14,18,18,19,20,20,22,24,25,24,23,21,18,9,10,12,13,15,17,19,19,18,16,12,9
San_Francisco,W,8.7,14,16,17,17,18,19,19,20,21,21,17,14,8,9,9,10,11,12,12,13,13,12,10,8
San_Jose,W,10,15,17,19,21,24,26,28,28,27,23,18,14,6,7,8,9,11,13,15,15,14,11,8,6
Seattle,W,7,9,11,13,16,19,22,24,25,22,16,11,8,3,3,4,6,9,12,14,14,12,8,5,2
St_Louis,MW,3.1,4,7,13,20,25,30,32,31,27,20,13,6,-5,-2,3,8,14,19,22,21,16,9,3,-3
Tampa,SE,3.8,21,23,25,27,31,32,32,32,32,29,26,22,11,12,15,17,21,24,24,25,24,20,16,12
Virginia_Beach,SE,4.5,9,11,15,20,24,29,31,30,26,21,16,11,0,1,5,9,14,20,22,22,19,12,7,2
Washington_DC,SE,6.8,6,8,13,19,24,29,31,30,26,20,14,8,-2,-1,3,8,14,19,22,21,17,10,5,0
